id,uri,title,published,isbn,author
GB8442101,http://bnb.data.bl.uk/id/resource/012025350,The waters of the gap : the mythology of Aquae Sulis,1981,0901303135,R. J. Stewart
GB8539230,http://bnb.data.bl.uk/id/resource/012672651,"Bath portrait : the story of Bath, its life and its buildings",1980,0902780069,Bryan D. G. Little
GB7733778,http://bnb.data.bl.uk/id/resource/012022818,"Science and music in eighteenth century Bath : [catalogue of] an exhibition in the Holburne of Menstrie Museum, Bath, 22 September 1977-29 December 1977",1977,0900843837,A. J. Turner
GBB067383,http://bnb.data.bl.uk/id/resource/015566467,The wrong Miss Richmond,2010,0709090005,Sandra Wilson
GB8221825,http://bnb.data.bl.uk/id/resource/012688450,The Royal Crescent in Bath : a fragment of English life,1981,0905459342,William Lowndes
GB9937942,http://bnb.data.bl.uk/id/resource/012031315,Waterside walks near Bristol & Bath,1999,1853065544,Nigel Vile
GB9713314,http://bnb.data.bl.uk/id/resource/007410650,English Heritage book of Roman Bath,1995,0713478934,Barry W. Cunliffe
GBA555951,http://bnb.data.bl.uk/id/resource/013239208,Bath buns and chocolate Olivers : a Bath childhood,2004,0946418268,Rosamund Willoughby
GB9827207,http://bnb.data.bl.uk/id/resource/006748127,The new Bath guide,1994,1874092125,Christopher Anstey
GB9977408,http://bnb.data.bl.uk/id/resource/010726810,A century of Bath,1999,075092442X,David Falconer
GBA9C3905,http://bnb.data.bl.uk/id/resource/014556357,Bath,2007,1841652008,Annie Bullen
GBA8D8886,http://bnb.data.bl.uk/id/resource/014852407,Bath and Wells : a sketch-book,2009,140811125X,D. S. Andrews
GBA477976,http://bnb.data.bl.uk/id/resource/013027897,"The myth maker : John Wood, 1704-1754",2004,0954613821,Kirsten Elliott
GB9612268,http://bnb.data.bl.uk/id/resource/012607781,Discovering Bath,1995,0199167028,Sue Thomas
GBA459892,http://bnb.data.bl.uk/id/resource/012971982,A portrait of Bath,2004,184114374X,John Cleare
GB9529913,http://bnb.data.bl.uk/id/resource/008150659,In and around Bath,1994,1871004233,Tricia Simmonds
GB8434518,http://bnb.data.bl.uk/id/resource/007395603,Roman Bath discovered,1984,0710201966,Barry W. Cunliffe
GBA146561,http://bnb.data.bl.uk/id/resource/012031381,On your bike around Bristol and Bath,2001,1853066605,Nigel Vile
GB7327844,http://bnb.data.bl.uk/id/resource/012250915,"The Civil War in Bath and North Somerset, 1642-1650",1973,0903044080,John Wroughton
GBA277893,http://bnb.data.bl.uk/id/resource/009393609,Gainsborough in Bath,2002,0300097115,Susan Sloman
GBA4Z3955,http://bnb.data.bl.uk/id/resource/006907501,Bath,2004,0711222665,Kirsten Elliott
GBB050712,http://bnb.data.bl.uk/id/resource/015530655,Bath's Old Orchard Street Theatre,2010,0956423000,Malcolm Toogood
